age,two_year_recid,c_charge_degree,race,sex,priors_count,length_of_stay,score
31,1,M,Other,Male,3,0,1
46,1,M,Other,Male,0,37,1
56,1,F,Other,Male,7,194,0
38,0,F,Other,Female,0,0,1
33,1,M,Other,Female,1,4,0
27,0,F,African-American,Male,0,0,0
31,0,M,Other,Male,1,117,0
33,0,F,Other,Female,0,1,1
45,0,F,Other,Male,3,1,1
24,0,F,African-American,Female,0,0,0
42,0,F,Other,Male,0,0,0
55,0,M,Other,Male,0,0,1
26,0,M,African-American,Male,0,1,1
28,1,M,Other,Male,6,1,1
27,0,F,African-American,Male,2,0,1
50,0,F,Other,Male,1,1,1
27,1,F,African-American,Female,0,0,1
33,0,F,African-American,Female,1,1,1
32,0,F,African-American,Male,0,1,1
22,1,F,African-American,Male,0,0,1
22,0,F,African-American,Female,2,1,0
30,0,F,African-American,Male,0,2,1
25,1,F,African-American,Male,3,0,0
20,1,F,Other,Male,0,0,1
20,1,M,Other,Female,0,0,0
52,0,F,Other,Male,2,1,1
27,0,M,Other,Male,2,0,1
37,0,M,African-American,Male,0,0,0
56,0,F,Other,Male,0,1,1
39,1,F,Other,Male,2,4,1
25,1,M,African-American,Male,2,0,1
24,1,F,African-American,Male,2,1,1
41,0,F,Other,Female,2,15,1
25,1,F,African-American,Male,0,0,1
46,1,F,Other,Male,2,0,0
38,0,F,African-American,Male,0,1,0
33,1,F,Other,Male,5,119,0
45,0,M,Other,Male,0,1,1
56,0,M,Other,Male,2,16,1
40,1,M,Other,Male,0,29,0
32,0,F,Other,Female,4,0,1
28,1,M,African-American,Female,10,3,0
59,0,M,Other,Male,1,0,1
29,1,F,Other,Male,3,1,1
30,0,F,African-American,Male,0,3,1
28,1,F,African-American,Male,1,0,1
37,0,F,African-American,Male,5,0,0
28,0,F,African-American,Female,5,0,0
50,0,M,Other,Male,0,0,1
29,1,F,African-American,Female,7,1,0
20,1,M,African-American,Male,0,11,0
30,1,F,African-American,Male,14,2,0
53,0,M,Other,Male,8,5,1
25,0,M,African-American,Female,0,0,1
53,0,F,Other,Male,0,0,1
50,0,F,Other,Male,10,0,1
58,0,M,Other,Male,10,0,1
29,0,F,African-American,Female,0,0,1
23,0,F,Other,Male,1,1,1
62,0,F,African-American,Male,8,15,1
29,0,F,African-American,Male,0,0,1
51,1,F,African-American,Male,12,151,0
23,0,F,African-American,Male,1,0,1
21,0,F,African-American,Male,0,0,1
60,0,F,Other,Male,0,0,1
32,0,F,African-American,Male,0,24,0
31,0,F,African-American,Male,0,0,0
55,1,F,African-American,Male,17,25,0
36,0,F,Other,Male,0,5,1
32,1,F,African-American,Male,12,1,0
42,0,F,Other,Female,0,1,1
36,1,M,African-American,Female,4,1,0
35,0,F,Other,Male,0,0,1
24,1,F,African-American,Male,0,1,0
27,1,M,African-American,Female,3,0,0
25,0,F,African-American,Female,1,4,1
60,1,F,Other,Female,9,384,1
24,1,F,African-American,Male,1,75,0
26,1,F,African-American,Male,6,2,0
36,1,F,African-American,Male,4,2,0
24,1,F,African-American,Male,2,0,0
26,0,F,African-American,Male,15,42,0
27,1,F,African-American,Male,7,34,0
34,1,F,African-American,Male,11,0,0
20,0,F,African-American,Male,0,0,0
44,0,M,Other,Male,0,0,1
33,1,F,African-American,Male,7,0,0
50,0,F,Other,Male,0,2,1
36,0,F,Other,Female,0,1,1
43,1,F,Other,Male,1,64,1
20,1,F,Other,Male,2,21,0
21,1,F,Other,Male,1,36,0
29,0,F,African-American,Male,5,1,0
49,0,F,Other,Male,0,1,0
47,1,F,African-American,Male,22,1,0
53,0,F,Other,Male,4,-1,1
24,1,M,African-American,Male,0,15,0
34,0,M,Other,Male,3,0,1
31,1,F,Other,Male,4,29,0
40,0,M,African-American,Female,4,1,1
31,0,M,African-American,Male,0,1,0
31,1,M,African-American,Male,15,4,0
32,1,F,African-American,Male,16,0,0
41,0,F,African-American,Male,7,0,1
26,1,F,Other,Male,7,0,0
26,0,F,African-American,Female,3,0,0
33,0,M,Other,Male,3,0,1
25,0,M,African-American,Male,5,1,0
25,1,F,Other,Male,6,0,0
57,0,F,Other,Female,2,0,1
46,1,F,Other,Male,2,2,1
24,0,M,African-American,Female,6,310,0
24,1,F,African-American,Female,1,0,0
25,0,F,Other,Male,1,1,0
48,1,F,Other,Male,1,129,0
36,0,F,African-American,Male,9,57,1
51,0,M,Other,Female,0,1,1
24,1,F,African-American,Male,0,0,0
30,0,M,African-American,Female,0,0,1
31,1,F,Other,Female,9,26,0
35,0,F,Other,Male,2,1,1
25,1,F,African-American,Male,5,49,0
35,0,M,African-American,Male,2,1,1
21,1,F,African-American,Male,0,30,1
48,1,F,African-American,Male,9,3,0
33,1,M,Other,Female,4,11,0
26,1,F,African-American,Male,3,3,0
75,0,F,African-American,Female,5,1,1
22,0,F,African-American,Male,1,43,0
22,1,M,African-American,Male,1,4,0
25,1,M,Other,Male,0,21,1
37,1,M,Other,Male,1,1,1
23,1,F,Other,Male,3,244,0
41,1,F,Other,Male,2,161,0
26,0,M,African-American,Male,1,14,1
29,0,F,African-American,Male,0,0,1
40,0,F,African-American,Male,3,1,1
31,1,F,Other,Female,2,1,0
25,0,M,Other,Male,0,0,1
49,0,F,Other,Male,3,0,1
39,1,F,Other,Female,11,1,0
23,1,F,African-American,Male,6,8,0
44,0,F,African-American,Male,2,2,0
34,0,F,Other,Male,1,0,0
28,1,M,Other,Male,1,-1,1
23,0,F,African-American,Male,0,1,1
25,0,M,African-American,Male,1,0,1
42,0,M,Other,Female,0,0,1
27,0,M,Other,Male,3,0,0
25,1,F,Other,Male,0,0,1
39,1,F,African-American,Female,0,57,0
23,1,F,Other,Male,3,41,1
52,0,F,African-American,Male,2,3,1
37,0,M,African-American,Male,8,1,0
29,1,M,African-American,Male,10,108,0
48,0,F,Other,Male,0,1,1
33,1,F,Other,Female,5,2,0
22,1,F,Other,Male,2,31,1
21,1,F,African-American,Male,0,34,0
30,1,F,African-American,Male,10,7,0
38,1,M,Other,Female,1,1,0
23,0,F,Other,Male,4,2,0
25,1,F,African-American,Male,2,0,0
19,1,F,African-American,Male,2,0,0
37,0,M,African-American,Male,3,0,0
40,0,F,Other,Male,0,22,1
44,1,F,Other,Male,6,118,0
43,0,F,Other,Male,8,1,1
21,1,F,Other,Male,0,1,1
26,0,M,Other,Female,2,0,0
57,0,F,Other,Male,3,1,1
40,0,M,Other,Female,0,1,1
23,1,M,African-American,Male,0,1,1
46,0,F,Other,Female,1,29,1
37,1,F,African-American,Male,6,0,1
23,1,F,African-American,Male,3,0,0
33,0,M,African-American,Female,3,1,1
20,0,M,African-American,Female,0,0,0
31,1,F,Other,Male,2,0,1
21,0,M,Other,Male,0,0,1
22,0,F,Other,Male,0,1,1
20,0,F,African-American,Male,1,2,1
22,0,F,African-American,Male,1,1,0
23,1,F,African-American,Male,6,1,0
24,1,M,African-American,Male,0,0,0
62,1,M,African-American,Male,3,1,1
30,1,M,African-American,Male,9,1,1
37,1,M,Other,Male,4,2,1
33,0,F,African-American,Male,0,45,0
34,0,M,Other,Male,1,1,0
51,0,F,African-American,Male,4,1,1
28,1,F,African-American,Male,4,21,0
48,0,M,Other,Male,1,5,1
33,1,M,African-American,Male,4,17,0
32,0,M,Other,Male,0,0,1
39,0,F,Other,Male,0,1,1
63,0,F,African-American,Male,6,24,1
45,0,M,African-American,Male,0,0,1
27,0,M,African-American,Female,0,1,1
21,1,M,African-American,Male,0,0,0
42,1,M,African-American,Male,10,0,0
30,1,F,Other,Female,3,0,1
24,0,M,Other,Male,3,1,1
42,0,M,Other,Male,1,0,1
43,1,F,Other,Male,11,76,0
23,1,F,Other,Male,0,0,0
38,1,M,Other,Male,5,2,1
36,1,M,Other,Male,0,1,1
23,1,F,Other,Female,0,1,0
27,1,F,African-American,Male,1,0,1
32,0,M,Other,Male,0,1,1
47,0,M,Other,Female,0,0,1
34,1,F,African-American,Male,7,0,0
31,1,F,Other,Male,11,0,0
25,1,M,Other,Male,0,2,0
65,1,F,Other,Male,1,0,1
33,1,M,African-American,Male,8,0,0
34,1,F,African-American,Male,12,1,0
33,0,F,Other,Male,1,0,1
23,0,F,African-American,Male,0,0,0
48,1,F,African-American,Male,2,1,1
54,0,F,African-American,Male,1,0,1
56,1,F,African-American,Male,31,0,0
21,1,F,African-American,Male,1,456,0
34,1,F,Other,Male,5,1,0
35,1,F,Other,Male,0,1,1
35,0,F,African-American,Female,2,14,0
29,1,F,Other,Male,4,3,1
31,1,F,African-American,Male,8,0,0
33,0,F,Other,Male,0,1,1
30,0,M,African-American,Male,0,1,0
29,0,M,African-American,Male,0,1,1
54,1,M,Other,Male,14,28,1
46,1,F,African-American,Female,2,9,0
24,0,M,African-American,Male,0,1,1
28,1,F,African-American,Male,25,25,0
29,1,M,Other,Male,0,1,1
27,1,F,African-American,Male,15,30,0
28,1,M,African-American,Male,6,0,0
42,0,F,African-American,Male,5,2,0
52,0,F,African-American,Male,3,0,1
32,0,M,Other,Male,0,0,1
37,0,F,Other,Male,0,19,1
53,0,F,Other,Male,1,6,1
49,0,F,African-American,Female,1,0,1
31,1,M,Other,Male,3,0,1
37,0,M,Other,Female,0,0,1
29,0,F,Other,Male,1,0,1
34,1,F,African-American,Male,16,1,0
20,1,M,African-American,Male,0,0,0
40,0,F,Other,Male,0,19,1
28,1,F,African-American,Male,5,3,1
23,0,F,Other,Male,2,22,0
20,1,F,Other,Male,0,1,0
71,0,M,Other,Male,1,3,1
30,1,F,African-American,Male,0,1,1
26,1,F,Other,Male,2,0,0
49,0,M,African-American,Male,1,10,0
57,0,M,African-American,Male,2,0,1
27,0,F,African-American,Male,1,1,0
44,1,M,Other,Female,1,6,1
22,1,M,African-American,Male,2,54,0
35,0,F,African-American,Female,2,14,0
52,1,M,Other,Male,4,1,1
33,1,F,African-American,Male,14,1,0
31,1,F,Other,Male,9,116,0
49,0,F,Other,Male,0,0,1
41,0,F,Other,Male,0,3,1
41,1,F,African-American,Male,25,185,0
25,0,F,African-American,Male,7,18,0
25,1,M,Other,Male,1,0,0
31,0,M,Other,Male,1,1,1
35,0,F,African-American,Male,6,0,1
43,0,F,African-American,Male,1,1,1
36,1,M,Other,Male,2,2,1
39,0,F,African-American,Female,1,0,1
32,0,M,Other,Male,6,27,0
26,1,F,African-American,Male,5,22,0
24,1,M,African-American,Male,2,12,0
57,0,F,Other,Male,1,19,1
48,1,M,Other,Male,1,0,1
39,0,F,Other,Female,0,1,1
35,1,M,African-American,Male,8,62,0
48,1,F,African-American,Male,3,1,1
25,1,F,African-American,Female,4,0,0
25,1,F,African-American,Male,8,0,0
28,0,F,African-American,Female,1,0,1
34,0,M,Other,Male,0,1,1
32,1,F,African-American,Male,7,0,0
34,0,F,African-American,Male,0,1,0
22,0,F,African-American,Female,0,1,0
36,0,M,African-American,Female,1,1,1
46,1,M,African-American,Male,1,1,0
30,0,F,Other,Male,0,5,1
26,0,M,African-American,Male,6,1,0
32,1,F,Other,Male,5,0,0
58,0,F,Other,Male,0,0,1
32,0,F,African-American,Male,4,0,0
28,0,F,African-American,Male,3,0,1
22,1,F,African-American,Male,2,1,0
27,0,F,Other,Male,1,1,1
21,1,F,African-American,Female,0,0,0
22,0,F,African-American,Male,0,0,1
29,1,M,African-American,Male,0,1,0
61,0,F,Other,Female,15,0,0
32,1,F,African-American,Male,0,5,1
51,0,F,African-American,Male,3,0,1
25,0,F,Other,Male,1,266,0
22,0,F,African-American,Male,1,0,1
33,0,F,African-American,Female,0,1,1
45,0,F,African-American,Male,6,1,1
26,0,F,Other,Male,2,0,0
22,1,F,African-American,Female,0,6,1
55,1,F,Other,Male,13,0,0
23,0,F,Other,Male,2,0,1
39,0,F,Other,Male,0,-1,1
22,1,F,Other,Male,0,2,0
56,0,M,Other,Male,1,2,1
41,1,F,African-American,Male,3,1,1
36,0,M,African-American,Female,1,0,1
26,0,F,African-American,Female,3,27,0
37,0,F,Other,Male,5,1,1
24,1,F,Other,Male,2,241,0
57,0,F,African-American,Male,19,117,0
22,0,F,African-American,Female,1,13,0
22,0,F,African-American,Male,0,1,0
32,0,F,African-American,Male,12,1,0
67,1,M,African-American,Male,4,27,0
50,0,F,Other,Male,1,1,1
27,0,F,African-American,Male,10,7,0
36,0,F,Other,Male,0,3,1
27,0,M,African-American,Male,1,2,0
40,1,M,Other,Male,4,2,1
23,0,M,African-American,Female,0,1,0
55,0,F,Other,Male,0,0,1
36,1,F,African-American,Male,7,0,0
22,0,F,African-American,Female,0,0,0
22,1,F,African-American,Male,2,1,1
33,1,F,African-American,Male,0,0,0
25,1,M,African-American,Male,8,1,0
25,0,F,African-American,Male,2,274,0
24,0,F,African-American,Male,0,0,1
31,1,F,Other,Male,0,-1,0
69,1,M,Other,Male,0,2,1
37,0,F,Other,Male,1,0,1
21,0,F,African-American,Male,0,0,0
47,0,M,Other,Male,0,2,1
32,1,F,African-American,Male,21,64,0
26,1,F,African-American,Male,5,0,0
23,1,F,African-American,Male,0,0,1
41,0,F,Other,Male,9,9,1
29,1,F,African-American,Male,10,29,0
30,1,F,Other,Male,13,33,0
56,0,M,Other,Male,0,1,1
29,1,F,Other,Male,10,2,0
45,0,F,Other,Male,1,-1,1
39,0,F,African-American,Male,1,0,0
37,0,F,Other,Male,1,5,1
42,1,M,African-American,Male,1,17,1
22,1,F,Other,Male,3,1,0
37,0,F,African-American,Female,13,1,0
31,0,F,Other,Male,0,1,1
23,1,M,African-American,Male,0,0,1
31,0,F,Other,Male,0,81,1
29,0,F,African-American,Female,5,1,0
25,0,F,African-American,Male,2,18,1
53,1,M,African-American,Male,18,41,0
23,1,M,African-American,Male,2,3,0
29,0,F,African-American,Male,7,1,1
22,0,F,Other,Male,1,236,0
23,1,F,African-American,Male,1,1,0
57,0,F,African-American,Male,0,1,1
29,1,F,African-American,Female,9,14,0
25,0,F,African-American,Female,1,13,1
33,0,F,African-American,Male,4,1,0
56,1,M,Other,Male,10,13,1
23,0,F,African-American,Female,0,25,1
54,0,F,African-American,Male,11,1,0
34,1,F,Other,Male,4,1,0
25,0,F,African-American,Male,1,0,1
22,1,M,Other,Male,1,1,0
22,1,F,African-American,Male,1,4,0
32,0,F,African-American,Female,11,0,0
35,0,M,Other,Male,4,31,1
25,0,F,African-American,Male,0,34,1
22,0,F,African-American,Male,0,1,1
51,1,F,Other,Male,8,1,0
34,0,F,Other,Male,0,28,1
53,0,F,African-American,Female,0,1,0
31,1,F,Other,Male,16,482,0
47,0,M,Other,Male,1,0,1
31,1,M,Other,Male,3,0,1
26,1,M,Other,Male,0,3,0
31,0,F,African-American,Male,6,25,0
42,0,F,Other,Male,1,292,1
50,0,M,Other,Male,4,26,1
25,0,F,African-American,Male,0,0,0
27,1,F,African-American,Male,2,0,0
59,0,F,African-American,Male,3,8,1
27,1,F,Other,Male,2,0,0
27,1,F,African-American,Male,1,168,0
35,0,F,African-American,Male,2,5,0
24,1,M,Other,Male,3,8,0
37,1,M,Other,Male,3,2,1
25,1,M,Other,Male,1,58,1
44,0,F,Other,Male,0,11,1
30,0,F,African-American,Male,4,-1,1
23,0,F,Other,Male,2,7,0
55,0,M,Other,Male,0,2,1
22,0,F,African-American,Male,0,1,1
21,1,F,African-American,Female,0,4,0
32,0,F,Other,Male,1,2,1
36,1,F,African-American,Male,2,2,0
49,0,M,Other,Male,0,0,1
26,0,M,African-American,Male,3,1,0
30,0,M,African-American,Male,1,0,0
23,1,M,Other,Male,0,0,1
32,1,M,Other,Male,0,1,1
29,0,F,Other,Male,5,258,0
34,0,M,Other,Female,1,3,1
56,0,F,African-American,Male,6,1,1
34,0,M,Other,Male,0,0,1
43,1,F,African-American,Female,2,1,1
52,0,F,African-American,Female,3,0,1
66,1,F,Other,Male,1,4,1
38,0,M,African-American,Male,7,197,0
51,0,F,Other,Female,0,1,0
39,0,F,Other,Male,0,0,1
32,1,F,African-American,Male,10,3,0
42,1,F,African-American,Male,14,1,0
25,1,M,African-American,Male,1,0,1
21,0,F,Other,Male,1,0,1
46,0,F,African-American,Male,9,5,1
20,0,F,Other,Male,0,0,1
32,1,F,Other,Female,2,32,0
30,0,M,Other,Male,6,0,1
35,0,F,African-American,Male,2,1,1
31,1,M,Other,Male,7,1,0
50,0,F,Other,Male,5,5,0
44,0,F,Other,Male,4,1,1
35,1,M,African-American,Male,14,0,0
24,1,M,Other,Male,1,1,1
26,0,F,Other,Female,0,0,0
41,0,F,Other,Male,5,1,1
26,0,F,African-American,Male,0,1,0
22,1,M,Other,Male,0,0,1
53,0,F,Other,Male,18,1,1
48,0,F,Other,Male,1,0,1
51,1,M,Other,Female,0,0,1
25,0,M,Other,Male,0,3,1
27,1,F,African-American,Male,6,0,0
42,1,M,African-American,Female,0,0,1
32,0,F,African-American,Female,5,-1,1
29,1,F,African-American,Male,12,12,0
24,0,F,African-American,Female,1,3,0
31,1,M,Other,Female,1,10,0
43,1,F,Other,Male,6,9,1
21,0,F,African-American,Male,1,1,0
43,0,F,African-American,Male,7,0,1
28,0,F,Other,Male,9,36,0
33,0,M,Other,Male,10,1,1
27,1,F,African-American,Male,10,0,0
29,0,F,Other,Female,0,0,1
36,0,M,Other,Male,8,1,1
21,1,F,African-American,Male,3,6,0
46,0,F,Other,Male,0,0,1
28,0,M,Other,Male,3,0,0
20,1,F,African-American,Male,1,4,0
29,1,M,African-American,Male,1,1,1
30,0,F,African-American,Male,6,133,1
28,0,F,African-American,Male,5,34,0
41,0,M,Other,Male,2,1,1
33,0,M,Other,Female,0,0,1
27,1,M,Other,Male,1,28,0
26,1,F,African-American,Male,2,148,1
28,0,F,Other,Male,1,4,1
46,0,F,Other,Female,2,19,0
21,0,F,African-American,Male,0,0,1
36,1,F,African-American,Male,14,0,0
32,1,F,Other,Male,0,0,1
45,1,F,African-American,Male,15,0,1
48,1,M,Other,Female,1,1,1
21,0,M,Other,Male,0,1,1
58,0,M,Other,Female,0,0,1
24,1,F,African-American,Male,1,0,1
30,0,F,Other,Male,2,6,1
54,0,F,Other,Male,0,27,1
58,0,F,African-American,Female,4,1,1
34,1,F,African-American,Female,1,116,0
34,1,M,African-American,Male,2,23,1
24,0,M,Other,Female,0,0,0
28,0,F,African-American,Male,1,0,0
23,1,F,Other,Male,3,9,0
38,0,F,African-American,Male,3,1,0
55,0,F,African-American,Male,1,0,1
