age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
33,Non-Private,195891,10,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,0
31,Private,122347,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
20,Private,121023,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,15,US,0
40,Private,168294,9,Married,Other,Husband,White,Male,0,0,40,US,0
35,Non-Private,177305,10,Married,Managerial-Specialist,Husband,White,Male,0,2377,40,US,0
50,Private,213041,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
27,Private,416946,9,Married,Other,Husband,Non-White,Male,0,0,40,US,0
46,Private,188293,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
27,Private,242207,13,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
29,Private,196971,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,72,US,0
34,Private,289984,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,30,US,0
23,Private,401762,7,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
29,Private,197382,7,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
27,Private,240172,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
47,Private,192776,13,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
49,Non-Private,247043,10,Married,Other,Husband,White,Male,0,0,40,US,0
17,Private,181015,6,Non-Married,Other,Non-Husband,White,Male,0,0,15,US,0
46,Private,34377,12,Married,Other,Husband,White,Male,0,0,40,US,1
42,Private,210275,14,Non-Married,Other,Non-Husband,Non-White,Female,4687,0,35,US,1
33,Non-Private,306309,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,50,US,0
24,Private,326587,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
33,Private,204752,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
21,Private,284651,10,Non-Married,Other,Non-Husband,White,Female,0,0,20,US,0
26,Private,184303,3,Non-Married,Other,Non-Husband,White,Female,0,0,8,Non-US,0
48,Non-Private,31267,9,Married,Other,Husband,White,Male,3411,0,70,US,0
17,Private,134480,7,Non-Married,Other,Non-Husband,White,Female,0,0,25,US,0
35,Private,150042,9,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
44,Private,160261,9,Married,Other,Husband,Non-White,Male,0,2377,35,Non-US,0
52,Private,200783,4,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,0
19,Private,144793,7,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
48,Non-Private,171986,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,15,US,0
42,Non-Private,126319,13,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,1
44,Private,59474,9,Married,Other,Husband,White,Male,0,0,40,US,1
53,Private,200576,7,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
42,Non-Private,298885,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
34,Private,242984,13,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
35,Private,65876,9,Married,Other,Husband,White,Male,0,0,40,US,0
32,Non-Private,19302,12,Married,Other,Husband,White,Male,0,0,56,Non-US,1
83,Non-Private,240150,6,Married,Other,Husband,White,Male,20051,0,50,US,1
23,Private,549349,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
33,Private,424719,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
22,Private,174043,9,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
52,Private,163948,5,Married,Other,Husband,White,Male,0,0,60,US,1
31,Private,34572,11,Married,Other,Husband,White,Male,0,0,45,US,0
63,Private,60459,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,37,US,0
22,Private,263398,10,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
44,Private,103459,9,Married,Other,Non-Husband,White,Female,0,0,40,US,1
57,Private,303986,3,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
31,Private,63861,9,Non-Married,Other,Non-Husband,White,Female,0,0,34,US,0
20,Private,246250,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
26,Private,154604,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
23,Non-Private,247731,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,Non-US,0
58,Private,196502,10,Married,Other,Husband,White,Male,0,0,60,US,1
33,Private,216145,9,Married,Other,Husband,White,Male,0,0,40,US,0
41,Non-Private,123502,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
48,Non-Private,88564,10,Non-Married,Other,Non-Husband,White,Male,0,0,45,US,0
34,Private,209101,13,Married,Managerial-Specialist,Husband,White,Male,5178,0,55,US,1
44,Private,176063,9,Married,Other,Husband,White,Male,0,0,50,US,1
60,Non-Private,327474,9,Married,Other,Husband,White,Male,0,0,70,US,0
72,Private,249559,9,Non-Married,Other,Non-Husband,White,Female,0,0,25,US,0
84,Non-Private,172907,10,Married,Other,Husband,White,Male,0,0,35,US,1
43,Private,498079,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
41,Private,63596,10,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,32,US,1
27,Private,177955,13,Non-Married,Other,Non-Husband,White,Female,0,0,40,Non-US,0
24,Private,194848,13,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
46,Private,178829,14,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,70,US,1
36,Private,247750,9,Married,Other,Husband,Non-White,Male,0,0,45,US,0
37,Private,188763,13,Married,Managerial-Specialist,Husband,White,Male,0,0,45,US,1
52,Private,256861,13,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
26,Non-Private,189502,13,Married,Other,Husband,White,Male,0,0,80,US,1
20,Private,284317,10,Non-Married,Other,Non-Husband,White,Female,0,0,35,US,0
29,Private,213152,7,Non-Married,Other,Non-Husband,White,Male,0,0,52,US,0
47,Private,191277,10,Married,Other,Husband,White,Male,0,0,50,US,1
43,Non-Private,405601,10,Married,Managerial-Specialist,Husband,White,Male,0,0,60,US,0
36,Non-Private,66883,10,Married,Other,Husband,White,Male,0,0,60,US,0
32,Private,260868,13,Married,Other,Husband,Non-White,Male,0,0,40,US,1
52,Private,126978,9,Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,0
41,Private,47902,10,Married,Other,Husband,White,Male,0,0,35,US,1
18,Private,203301,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,US,0
43,Private,191982,11,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,55,US,0
34,Private,366898,9,Married,Other,Husband,White,Male,0,0,40,Non-US,0
42,Private,208347,7,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,0
37,Private,233571,11,Married,Other,Non-Husband,White,Female,0,0,37,US,1
30,Private,324120,9,Married,Other,Husband,White,Male,0,0,50,US,0
59,Private,426001,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,20,Non-US,0
43,Private,315971,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,45,US,1
40,Private,115932,13,Married,Managerial-Specialist,Husband,White,Male,0,0,60,Non-US,1
25,Non-Private,113948,11,Married,Other,Non-Husband,White,Female,0,0,45,US,0
71,Private,187493,9,Married,Other,Husband,White,Male,0,0,40,US,1
45,Private,199832,13,Married,Managerial-Specialist,Husband,White,Male,0,0,15,US,0
42,Non-Private,178074,14,Married,Managerial-Specialist,Non-Husband,White,Female,0,1902,40,US,1
27,Private,189589,10,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
34,Private,182274,10,Married,Managerial-Specialist,Non-Husband,White,Female,0,1887,40,US,1
39,Private,101782,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
32,Private,331539,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,40,US,0
37,Private,61778,13,Non-Married,Other,Non-Husband,White,Male,0,0,30,US,0
17,Private,150471,6,Non-Married,Other,Non-Husband,White,Female,0,0,25,US,0
35,Non-Private,145308,10,Married,Other,Husband,White,Male,0,0,40,US,0
59,Private,167963,9,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,US,0
23,Private,189203,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
47,Private,249935,7,Non-Married,Other,Non-Husband,White,Male,0,0,8,US,0
58,Private,106740,9,Married,Other,Husband,White,Male,0,0,40,US,1
38,Private,179314,9,Married,Other,Husband,White,Male,0,0,40,US,0
36,Private,184112,15,Married,Managerial-Specialist,Non-Husband,White,Female,15024,0,45,US,1
19,Private,124265,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
40,Private,169995,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
44,Non-Private,311357,15,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
56,Non-Private,203250,10,Married,Other,Husband,White,Male,0,0,40,US,0
48,Private,235108,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
51,Non-Private,152754,13,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
46,Private,28497,10,Married,Other,Husband,White,Male,0,0,8,US,0
58,Private,113398,9,Non-Married,Other,Non-Husband,White,Male,0,0,25,US,0
37,Private,133328,9,Non-Married,Other,Non-Husband,White,Female,0,0,40,US,0
45,Non-Private,180680,7,Married,Other,Husband,White,Male,0,0,35,US,0
44,Non-Private,344060,15,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
21,Non-Private,218445,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,40,Non-US,0
51,Non-Private,97005,4,Married,Other,Husband,White,Male,0,0,40,US,0
49,Private,255466,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,43,US,0
65,Private,113323,12,Married,Managerial-Specialist,Husband,White,Male,3818,0,40,US,0
34,Private,107417,9,Married,Other,Husband,White,Male,0,0,40,US,0
47,Private,275163,9,Married,Other,Husband,White,Male,0,0,45,US,0
43,Non-Private,187778,9,Married,Other,Husband,White,Male,0,0,20,US,0
37,Private,305379,13,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
36,Private,274809,9,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,50,US,0
20,Non-Private,115085,10,Non-Married,Other,Non-Husband,White,Male,0,0,40,US,0
45,Non-Private,155659,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
24,Private,126613,13,Non-Married,Other,Non-Husband,White,Female,0,0,50,US,0
31,Private,70568,2,Non-Married,Other,Non-Husband,White,Female,0,0,25,Non-US,0
30,Private,297155,10,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
24,Private,257500,9,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,US,0
36,Non-Private,340091,16,Married,Managerial-Specialist,Non-Husband,White,Female,0,0,36,US,1
55,Private,171467,9,Non-Married,Other,Non-Husband,Non-White,Male,0,0,48,US,1
25,Private,244408,9,Married,Managerial-Specialist,Non-Husband,Non-White,Female,0,0,40,Non-US,0
20,Private,289982,9,Non-Married,Other,Non-Husband,White,Female,0,0,10,Non-US,0
54,Private,99516,9,Married,Other,Husband,White,Male,0,0,35,US,0
37,Private,149898,9,Non-Married,Other,Non-Husband,White,Male,0,0,50,US,0
54,Private,143804,6,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
28,Non-Private,218555,10,Non-Married,Other,Non-Husband,White,Male,0,1762,40,US,0
54,Private,179291,10,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,56,Non-US,1
47,Private,219632,3,Non-Married,Managerial-Specialist,Non-Husband,White,Male,0,0,40,Non-US,0
53,Private,159849,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
37,Private,256636,9,Married,Other,Husband,White,Male,0,0,40,US,0
47,Non-Private,20956,13,Married,Other,Husband,White,Male,0,1740,40,US,0
24,Private,172941,13,Non-Married,Managerial-Specialist,Non-Husband,Non-White,Male,0,0,20,US,0
50,Private,55527,12,Non-Married,Other,Non-Husband,Non-White,Male,0,0,45,US,0
50,Non-Private,83311,13,Married,Managerial-Specialist,Husband,White,Male,0,0,13,US,0
51,Private,162745,9,Married,Other,Husband,White,Male,7298,0,50,US,1
54,Private,108435,9,Married,Managerial-Specialist,Husband,White,Male,0,0,20,US,0
54,Non-Private,149650,9,Non-Married,Other,Non-Husband,White,Male,0,0,40,Non-US,0
57,Non-Private,247337,9,Married,Other,Husband,White,Male,0,0,72,US,0
30,Private,192644,14,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,1
31,Non-Private,351141,9,Married,Other,Husband,White,Male,0,0,40,US,0
26,Private,124111,13,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,35,US,0
46,Private,176814,15,Married,Managerial-Specialist,Husband,White,Male,99999,0,50,US,1
54,Non-Private,51048,9,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,1
30,Private,79712,13,Married,Managerial-Specialist,Husband,Non-White,Male,0,0,40,US,0
44,Private,193524,10,Married,Managerial-Specialist,Husband,White,Male,0,0,40,US,0
48,Private,81497,10,Non-Married,Managerial-Specialist,Non-Husband,White,Female,0,0,65,US,0
43,Private,401134,12,Non-Married,Other,Non-Husband,White,Female,0,2238,40,US,0
32,Private,172415,9,Non-Married,Other,Non-Husband,Non-White,Female,0,0,40,US,0
28,Non-Private,142443,13,Married,Managerial-Specialist,Husband,White,Male,0,0,50,US,0
