RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.961648974,33,0,0.396450939,9579.0,6,0,2,0,3.0,1
0.462923964,71,0,0.430620715,11083.0,9,0,3,0,0.0,1
0.648533964,54,0,0.402726683,4620.0,9,0,1,0,2.0,0
0.070714297,63,0,0.926224427,1612.0,11,0,2,0,0.0,1
0.327340477,58,0,0.264758497,9502.0,8,0,1,0,0.0,1
0.073197072,32,0,0.05799536,12500.0,6,0,0,0,2.0,1
0.184908679,55,0,0.180419094,11500.0,9,0,2,0,3.0,1
0.044118803,70,0,0.26606184,5400.0,8,0,0,0,1.0,1
0.564449312,42,0,0.359531196,2900.0,6,0,0,0,0.0,1
0.028638854,80,0,0.005748563,4000.0,11,0,0,0,1.0,1
0.179478812,67,0,0.285288764,6042.0,8,0,1,0,0.0,1
0.127804775,52,0,0.339207599,8000.0,16,0,2,0,1.0,1
0.389782263,66,0,0.294020754,6070.0,16,0,2,0,4.0,0
0.035245324,38,0,0.678323985,3030.0,13,0,1,0,2.0,1
0.007303713,25,0,0.635809988,820.0,6,0,0,0,0.0,1
0.26245659,48,0,0.319683988,8986.0,10,0,1,1,0.0,1
0.105711265,60,0,0.143081761,12083.0,7,0,1,0,1.0,1
0.9999999,45,0,0.0,500.0,0,0,0,0,0.0,1
0.068927924,39,0,0.322973267,4600.0,17,0,1,0,0.0,1
0.098704221,44,0,0.290671073,7867.0,4,0,1,0,0.0,1
0.9999999,40,0,0.286100351,11100.0,6,0,2,0,2.0,1
0.234916765,58,0,0.369004843,6400.0,10,0,1,0,0.0,1
0.000902913,49,0,0.031032771,12083.0,14,0,1,0,0.0,1
0.016489123,30,0,0.122147359,4600.0,8,0,0,0,0.0,1
0.580903804,41,0,0.506741403,6600.0,11,0,0,0,1.0,1
0.805380755,47,0,0.459220111,7000.0,7,0,2,0,2.0,1
0.003447979,46,0,0.002702703,5179.0,5,0,0,0,1.0,1
0.100352238,45,1,0.794882047,2500.0,5,0,1,0,2.0,1
0.620685491,67,0,0.35882244,5400.0,14,0,1,0,0.0,1
0.9999999,34,1,0.430713857,3333.0,4,0,1,1,2.0,1
0.96057706,39,0,0.080700342,4968.0,2,0,0,1,1.0,1
0.871366331,44,0,549.0,0.0,6,0,0,0,0.0,1
0.109663011,40,0,0.305534026,6450.0,7,0,1,0,2.0,1
0.088714412,37,0,0.674777162,4150.0,6,0,2,0,0.0,1
0.027140919,80,0,0.003665445,3000.0,2,0,0,0,1.0,1
0.971378468,49,0,1.095650725,6000.0,9,0,4,0,2.0,1
0.156989534,57,0,0.015264466,5633.0,6,0,0,0,0.0,1
0.032728543,54,0,0.233514511,9750.0,14,0,2,0,3.0,1
0.932742307,57,0,0.179158783,6870.0,3,1,1,0,0.0,1
0.0,52,0,0.042591482,5000.0,6,0,1,0,2.0,1
0.281608032,28,0,0.414517097,5000.0,10,0,1,0,1.0,1
0.0,40,0,0.454193226,8000.0,9,0,1,0,3.0,1
0.942443534,44,0,0.895944149,3007.0,11,0,2,0,3.0,0
0.422791243,65,1,0.21392869,3000.0,9,0,0,0,0.0,1
0.9999999,73,0,0.0,4100.0,2,0,0,0,0.0,1
1.035953551,45,2,0.26094781,5000.0,6,1,1,1,0.0,0
0.501925316,37,0,0.52161042,3377.0,4,0,1,0,3.0,1
0.531049379,42,0,0.150986274,11000.0,4,0,1,0,0.0,1
0.776376979,53,0,0.492346404,9537.0,9,0,2,0,4.0,1
0.104499559,30,0,0.190799397,3977.0,6,0,0,0,2.0,1
0.190634894,34,0,0.420697413,8000.0,9,0,1,0,0.0,1
0.0,23,0,0.0,929.0,2,0,0,0,0.0,1
0.0,36,0,0.460722302,4900.0,7,0,2,0,0.0,1
0.068299554,57,0,0.171687505,11916.0,12,0,1,0,3.0,1
0.009676451,43,0,0.228053063,5125.0,8,0,1,0,2.0,1
0.182150411,77,0,0.312046033,10600.0,8,0,1,0,0.0,1
0.008056974,40,0,0.821006417,2960.0,12,0,1,0,0.0,1
0.870374791,44,0,0.441682737,14000.0,9,0,2,0,3.0,1
0.785155749,51,0,0.856722998,1360.0,5,0,1,0,1.0,0
0.249320581,37,0,0.524676651,5875.0,7,0,2,0,0.0,1
0.579142403,42,0,1.05378383,5800.0,6,0,1,0,0.0,0
0.406585959,68,0,0.613346815,4944.0,12,0,1,0,0.0,1
0.014319427,72,0,0.228097622,3195.0,9,0,1,0,0.0,1
0.500357115,32,0,1.580521145,2340.0,7,0,1,0,1.0,1
0.0,73,0,0.0,4912.0,4,0,0,0,0.0,1
0.931777795,33,0,0.354416576,1833.0,7,0,0,0,1.0,0
0.916350597,50,0,0.080191981,10000.0,6,0,0,0,1.0,1
0.092095315,70,0,0.281674738,6400.0,9,0,1,0,1.0,1
0.504059482,86,0,0.357552581,4183.0,10,0,1,0,0.0,1
0.608847144,65,1,0.186083626,3132.0,6,0,0,2,0.0,1
0.289636373,57,0,0.999875016,8000.0,21,0,3,0,1.0,1
0.177792888,61,0,0.176459385,10500.0,10,0,1,0,0.0,1
0.005298361,81,0,0.23388582,3800.0,9,0,1,0,1.0,1
0.236934208,31,0,0.108134505,7166.0,8,0,0,0,0.0,1
0.033079559,58,0,0.014928425,4889.0,5,0,0,0,0.0,1
0.163015719,48,0,0.372154116,3425.0,11,0,1,0,0.0,1
0.349408084,46,0,0.694869625,13000.0,9,0,4,0,0.0,1
0.879896709,60,0,0.45291322,5680.0,17,0,2,0,1.0,1
0.376188352,63,0,0.403497575,7833.0,9,0,2,0,1.0,1
0.003499865,48,0,0.32941435,9100.0,7,0,2,0,1.0,1
0.142176648,49,0,0.019633508,9167.0,5,0,0,0,1.0,1
0.171992182,62,0,0.020964718,5866.0,2,0,0,1,0.0,1
0.102463725,77,0,0.019215156,3694.0,2,0,0,0,0.0,1
0.426001444,57,0,0.366962025,7899.0,6,0,1,0,0.0,1
0.9999999,27,1,0.317336533,1666.0,3,0,0,0,0.0,1
0.129971118,23,0,0.020706456,820.0,4,0,0,0,0.0,1
0.088769698,35,0,0.165872596,5666.0,11,0,0,0,0.0,1
0.671166345,61,2,0.077980505,4000.0,6,0,0,0,1.0,0
0.346556353,36,2,0.219496954,6400.0,9,0,0,1,3.0,1
0.159853254,63,0,0.268056303,13000.0,19,0,2,0,0.0,1
0.0,38,3,0.062807698,6702.0,5,5,0,0,1.0,0
0.076476941,62,0,0.332204483,6200.0,5,0,1,0,1.0,1
0.010453067,62,0,0.133924799,7100.0,14,0,1,0,1.0,1
0.014069551,48,0,0.060303078,6400.0,5,0,0,0,3.0,1
0.051392104,68,0,0.377324535,5000.0,9,0,3,0,1.0,1
0.046020077,60,0,0.010094277,10500.0,6,0,0,0,0.0,1
0.001535518,38,0,0.002544529,1964.0,8,0,0,0,0.0,1
0.056553075,53,0,0.254515599,2435.0,10,0,1,0,3.0,1
0.217246389,40,0,0.290688331,11200.0,8,0,2,0,0.0,1
0.205980066,42,0,0.148395018,5700.0,5,1,0,0,2.0,1
0.059796489,44,0,0.535441658,3667.0,8,0,1,0,0.0,1
0.008040918,81,2,0.007725517,4400.0,16,0,0,0,1.0,1
0.036535651,61,0,0.121187801,1245.0,6,0,1,0,0.0,1
0.13800755,41,0,0.265061245,12000.0,10,0,2,0,0.0,1
0.310480518,54,1,0.239668197,6750.0,5,0,1,0,1.0,1
0.080427037,57,0,0.020236272,9141.0,11,0,0,0,0.0,1
0.9999999,32,0,0.129181084,2600.0,5,0,0,0,3.0,1
0.071095312,50,1,0.534368932,2574.0,5,0,1,0,1.0,1
0.159204018,64,0,0.193251534,5541.0,14,0,1,0,0.0,1
0.0,44,1,0.672687062,2712.0,6,0,1,0,3.0,1
0.586610799,46,0,0.125249833,1500.0,3,0,0,0,0.0,1
0.173138149,58,0,0.09026852,5250.0,9,0,0,0,0.0,0
0.959469369,49,0,0.200159968,5000.0,4,0,0,0,0.0,1
0.050801304,66,0,0.136996904,5167.0,7,0,0,0,0.0,1
0.017577746,39,0,0.288493001,5500.0,12,0,1,0,2.0,1
0.8712259,45,1,0.09088874,8933.0,9,0,0,1,1.0,1
0.546829385,43,0,0.681233933,3500.0,14,0,0,0,2.0,1
0.09561753,40,0,0.0,4800.0,2,2,0,0,1.0,1
0.34650918,44,0,0.353479624,7974.0,9,0,2,0,0.0,1
0.0,36,0,0.023089983,2944.0,6,0,0,0,0.0,1
0.058976214,58,0,0.133130329,8209.0,10,0,2,0,0.0,1
0.051924878,56,0,0.366789014,7900.0,13,0,2,0,1.0,1
0.158807736,86,0,0.413434626,5001.0,14,0,1,0,0.0,1
0.360190995,73,0,0.156521739,2759.0,3,0,0,0,0.0,1
0.062973692,49,0,0.616466694,4833.0,11,0,2,0,1.0,1
0.513119284,45,0,0.290328896,5107.0,9,0,1,0,1.0,1
0.278244539,55,0,0.420881293,8600.0,10,0,1,0,0.0,1
0.144380398,49,0,0.183307874,7200.0,8,0,1,0,4.0,1
0.475252475,38,1,0.428628549,2500.0,8,1,0,0,0.0,1
0.175357206,41,0,0.198225222,8000.0,12,0,1,0,2.0,1
0.382134468,50,3,0.283097419,1200.0,15,0,0,0,0.0,1
0.029167625,55,0,0.197584193,12500.0,9,0,1,0,1.0,1
0.011272386,72,0,0.100151235,5950.0,4,0,0,0,0.0,1
0.27522463,44,0,0.110907577,12009.0,8,0,0,0,0.0,1
0.346451858,56,0,0.30890538,3233.0,9,0,0,0,0.0,1
0.040136123,55,0,0.020949056,6300.0,15,0,0,0,1.0,1
0.9999999,47,2,0.600114253,3500.0,4,2,3,1,0.0,0
0.20304072,50,0,0.357528494,5000.0,13,0,1,0,2.0,0
0.008302779,70,0,0.20269042,5500.0,5,0,1,0,0.0,1
0.450339481,50,1,0.177201395,9175.0,13,0,1,0,0.0,1
0.380974602,54,0,0.33120438,6575.0,6,0,1,0,1.0,1
0.755456866,63,0,0.759859772,5704.0,15,0,1,0,0.0,1
0.43517291,65,0,0.3105603,4800.0,6,0,1,0,0.0,1
0.494237145,53,1,0.081802081,9033.0,8,0,0,0,0.0,1
0.009722166,44,0,0.612487501,9000.0,6,0,3,0,2.0,1
0.661481592,58,0,0.660599846,3900.0,9,0,2,0,1.0,1
0.113961098,43,0,0.040316775,4166.0,4,0,0,0,0.0,1
0.0,55,0,0.007335231,9133.0,1,0,0,0,0.0,1
0.567262291,51,0,0.00959952,20000.0,3,0,0,0,0.0,1
0.0,54,1,0.475725816,8300.0,10,1,3,0,0.0,0
0.901617028,43,0,0.605214356,9166.0,16,0,1,0,3.0,1
0.905468868,31,1,0.35297212,1900.0,6,0,0,2,0.0,1
0.083489889,74,0,0.282067645,4700.0,12,0,1,0,0.0,1
0.107496417,46,0,0.129608799,8000.0,9,0,0,0,2.0,1
0.030991119,61,0,0.225059952,8339.0,14,0,1,0,1.0,1
0.034041998,42,0,0.423644089,4000.0,4,0,1,0,0.0,1
0.0,43,0,0.080783843,5000.0,2,0,0,0,2.0,1
0.2268228,34,0,0.19730045,6000.0,12,2,1,0,3.0,0
0.767295597,46,1,0.62190984,8251.0,8,0,3,0,2.0,1
0.345526095,62,0,80.0,1.0,9,0,0,0,0.0,1
0.006133445,63,0,696.0,0.0,11,0,1,0,0.0,1
0.080489446,64,0,0.321979227,15500.0,6,0,1,0,0.0,1
1.404793609,41,0,0.438106439,3400.0,3,0,1,0,0.0,0
0.09369088,74,0,0.479241661,4166.0,7,0,1,0,0.0,1
0.123859518,46,1,0.07993261,5341.0,3,0,1,0,0.0,1
0.439423749,74,0,0.18867083,6725.0,7,0,0,0,2.0,1
0.9999999,66,0,0.229471417,11142.0,6,0,1,0,0.0,1
0.061014015,67,0,0.29512587,5600.0,8,0,1,0,0.0,1
0.01682039,50,0,0.129980003,6500.0,18,0,0,0,0.0,1
0.095090491,75,0,0.005417957,5167.0,5,0,0,0,0.0,1
0.9999999,58,1,0.018796241,5000.0,9,0,0,0,1.0,1
0.435213732,57,0,0.037178265,4195.0,2,0,0,0,0.0,1
0.125166662,54,0,1.756036636,1200.0,5,0,1,0,0.0,1
0.593600388,60,0,0.219406886,8800.0,6,0,1,0,0.0,1
0.306889701,50,0,0.109978004,5000.0,5,0,0,0,0.0,1
1.027841053,47,1,0.253960929,6500.0,8,1,1,0,1.0,1
0.651049779,37,0,0.215900976,4200.0,6,0,0,0,0.0,0
0.035910117,49,0,0.135396296,8692.0,5,0,1,0,2.0,1
0.389457002,50,0,0.186216536,9300.0,6,0,1,0,4.0,1
0.008487393,69,1,1.137308534,1827.0,12,0,2,0,0.0,1
0.9999999,39,3,1.535027898,1612.0,1,0,1,1,3.0,1
0.209136778,55,0,0.281029196,7500.0,12,0,1,0,0.0,1
0.0,48,0,0.428240458,8200.0,9,0,1,0,2.0,1
0.9999999,32,1,0.084544965,1856.0,2,0,0,0,1.0,0
1.303393214,34,2,0.138023837,2600.0,5,1,0,0,1.0,0
0.058194181,36,0,0.825217672,3100.0,8,0,2,0,2.0,1
0.022232873,72,0,0.24494825,2028.0,18,0,1,0,0.0,1
0.349675724,48,1,0.330247835,3348.0,9,0,1,0,0.0,1
0.032514794,68,0,0.010576923,5199.0,5,0,0,0,0.0,1
0.010491956,58,0,0.443918367,6124.0,15,0,2,0,1.0,1
0.290185984,74,0,0.645113524,2025.0,12,0,0,0,0.0,1
0.013541605,89,0,0.084596669,5342.0,10,0,0,0,0.0,1
0.097828927,66,0,0.031806495,10500.0,19,0,0,1,0.0,1
0.694501018,55,0,0.080824264,18100.0,10,0,0,0,2.0,1
0.511729307,67,1,0.60913029,3000.0,8,1,1,0,0.0,1
0.055899854,44,0,0.289274713,7141.0,11,0,2,0,0.0,1
0.015085427,76,0,0.041234168,10500.0,9,0,1,0,0.0,1
0.211504336,38,0,0.337128575,3600.0,9,0,0,0,2.0,1
0.041140696,63,0,0.037781742,6166.0,6,0,0,0,0.0,1
0.004652282,67,0,0.06931023,3000.0,7,0,0,0,0.0,1
0.0,29,0,0.213468454,3058.0,6,0,0,0,0.0,1
0.139343033,64,0,0.025243689,4000.0,5,0,0,0,0.0,1
0.542390808,71,0,0.636036036,1109.0,6,0,0,0,0.0,1
0.030140828,75,0,0.141714793,2250.0,18,0,0,0,0.0,1
0.0,57,0,0.362694301,7333.0,9,0,1,0,1.0,1
0.059841964,72,0,0.005796158,15354.0,7,0,0,0,0.0,1
0.140535221,70,0,0.177468309,5600.0,6,0,1,0,0.0,1
0.994518789,32,0,0.566216453,5700.0,6,0,2,0,0.0,1
0.068362601,59,0,0.39862259,3629.0,6,0,1,0,0.0,1
0.9999999,52,0,0.350839776,3750.0,2,0,2,0,0.0,1
0.74284156,44,0,0.82090022,6353.0,5,0,2,0,0.0,1
0.096891216,45,0,0.083826879,2194.0,5,0,0,0,0.0,1
0.655147395,46,0,0.378128675,5952.0,6,0,1,0,3.0,1
0.002879399,75,0,0.111972007,4000.0,8,0,0,0,0.0,1
0.259947502,57,0,0.128368667,11131.0,6,0,1,0,1.0,1
0.304242395,69,1,0.163043478,5703.0,6,0,0,0,1.0,0
0.020413125,68,0,0.283661356,6401.0,18,0,2,0,0.0,1
0.237571197,84,0,0.380680966,6666.0,8,0,1,0,0.0,1
0.073312191,49,0,76.0,0.0,2,0,0,0,1.0,1
0.241161457,28,2,0.681008257,2300.0,11,0,1,0,0.0,1
0.0,22,0,0.0,1.0,2,0,0,0,0.0,1
0.008135396,89,0,0.002499375,4000.0,4,0,0,0,0.0,1
0.112072613,69,0,0.067395907,2833.0,3,0,1,0,0.0,1
0.011452665,29,0,0.119902969,8656.0,5,0,1,0,1.0,1
0.053758925,83,0,0.373523175,3300.0,6,0,0,0,0.0,1
0.994280229,43,0,0.294482183,8390.0,6,0,1,0,4.0,1
0.415916817,34,0,0.34319162,1622.0,2,0,0,0,0.0,1
0.646471624,57,2,0.657375346,5775.0,15,1,0,1,1.0,1
0.230043553,72,0,0.811729548,2676.0,12,0,1,0,0.0,1
0.0,50,1,0.32016893,17521.0,9,0,2,0,3.0,1
0.9999999,35,0,0.499786962,2346.0,2,0,1,0,1.0,1
0.9999999,45,0,0.110588941,10000.0,4,0,1,0,3.0,1
0.073760823,56,0,0.159768046,5000.0,10,0,0,0,2.0,1
0.0,67,0,0.576898532,4700.0,7,0,2,0,0.0,1
0.090290481,67,0,0.109585389,7500.0,4,0,1,0,0.0,1
0.009297838,29,0,0.082986169,6000.0,4,0,0,0,0.0,1
0.327341983,28,3,0.170804866,6000.0,10,5,0,2,1.0,1
0.435789474,60,0,0.435846297,7520.0,10,0,2,0,0.0,1
0.457699586,49,0,0.535092981,5000.0,12,0,1,0,3.0,1
0.031698311,78,0,0.263374486,1457.0,6,0,0,0,0.0,1
0.028059786,69,0,0.46529563,6223.0,18,0,2,0,0.0,1
0.311254648,65,0,0.488173456,7609.0,23,0,2,0,1.0,1
0.9999999,31,1,0.673023685,3250.0,3,3,1,0,2.0,0
0.246590136,56,0,0.227067392,10846.0,4,0,1,0,1.0,1
0.9999999,57,1,0.122238586,4073.0,1,1,0,0,1.0,1
0.327103144,53,0,0.666123613,9820.0,6,0,2,0,0.0,1
0.012545715,42,0,0.101632705,7900.0,7,0,0,0,0.0,1
0.200874186,44,0,0.127460169,3200.0,10,0,0,0,3.0,1
0.318381807,33,0,0.411323585,5333.0,7,0,1,0,0.0,1
2.188581142,47,4,0.414577871,9534.0,9,0,1,0,1.0,1
0.157466691,64,1,0.16222814,13517.0,17,0,2,0,0.0,1
0.488792755,62,0,0.152013791,6380.0,12,0,0,0,0.0,1
0.192992072,51,0,1.681014604,1300.0,10,0,1,0,1.0,1
0.006434815,50,0,0.200369202,13000.0,18,0,1,0,2.0,1
0.00584465,80,0,0.008531058,3750.0,13,0,0,0,0.0,1
0.108107686,71,0,0.292360222,9371.0,13,0,2,0,0.0,1
0.046525219,74,0,0.28037958,11380.0,12,0,3,0,0.0,1
0.077302094,55,0,0.165031902,10500.0,24,0,1,0,0.0,1
0.00634439,78,0,0.106563422,2711.0,5,0,0,0,0.0,1
0.393323586,71,0,0.445729537,4495.0,13,0,0,0,0.0,1
0.130449866,50,0,0.364429368,4126.0,15,0,1,0,3.0,1
0.000783553,52,0,0.326374164,6130.0,11,0,1,0,2.0,1
0.000447357,58,0,0.008253968,6299.0,4,0,0,0,0.0,1
0.087436892,82,0,0.01371619,7800.0,2,0,0,0,0.0,1
0.084705095,78,0,0.059841551,13000.0,6,0,0,0,1.0,1
0.0359964,36,0,0.037525908,9166.0,5,0,0,0,0.0,0
0.001899151,42,0,0.938030985,2000.0,7,0,1,0,1.0,1
0.128149229,74,0,0.158089596,2700.0,4,0,1,0,0.0,1
0.260262605,49,0,0.314669333,7000.0,15,0,2,0,0.0,1
0.563973593,39,0,0.578488787,7000.0,18,0,1,0,2.0,1
0.386185787,64,0,0.353695579,5925.0,9,0,2,0,0.0,1
0.027372355,33,0,0.260942761,2375.0,5,0,0,0,0.0,1
0.008138904,28,0,0.887323944,1916.0,7,0,1,0,1.0,1
0.065157824,39,0,12.42288557,200.0,9,1,2,0,2.0,1
0.474722784,81,0,0.494967025,2880.0,6,0,1,0,0.0,1
0.980910248,65,0,0.683165292,3272.0,5,0,1,0,0.0,1
0.024614438,57,0,0.249953849,10833.0,10,0,2,0,0.0,1
0.026218082,65,0,0.169722019,15000.0,10,0,1,0,0.0,1
0.9999999,61,0,0.374067594,10858.0,5,0,2,0,1.0,1
0.448651924,27,1,0.075538769,4500.0,6,0,0,0,0.0,0
0.231488398,60,0,0.381858903,6250.0,11,0,1,0,0.0,1
0.032370504,51,0,0.369437293,10875.0,8,0,4,0,2.0,1
0.094908596,67,1,0.023996904,7750.0,5,0,0,0,1.0,1
0.565414167,56,3,0.390474938,7600.0,7,0,2,0,0.0,1
0.013160866,55,0,0.302696753,5450.0,15,0,4,0,0.0,1
0.342305423,58,2,0.447777183,5600.0,16,0,2,0,1.0,1
0.041401749,37,0,0.101645491,4800.0,5,0,0,0,3.0,1
0.782969886,61,0,1.1381697,3900.0,7,2,1,1,2.0,1
0.668223916,27,0,0.174960236,4400.0,14,0,0,0,0.0,1
0.609198971,58,0,0.316594118,18837.0,17,0,3,0,1.0,1
0.38976896,41,0,0.3203125,8575.0,8,0,1,0,2.0,1
0.113656088,39,0,0.17723523,12000.0,10,0,1,0,2.0,1
1.00759962,58,0,0.272414358,6100.0,4,0,1,0,0.0,1
0.280100737,56,0,0.516762241,4533.0,12,0,1,0,2.0,1
0.060104329,47,0,0.16357819,7500.0,15,0,1,0,1.0,1
1.34082397,62,3,0.613301337,5833.0,6,2,1,0,0.0,1
0.230157876,47,0,0.392321453,7266.0,16,0,1,0,2.0,1
0.011419438,42,0,1.968976684,15439.0,15,0,2,0,2.0,1
0.033093783,80,0,0.128913444,3800.0,13,0,0,0,0.0,1
0.054368204,46,0,0.227567455,4780.0,6,0,0,0,1.0,1
0.17633313,42,0,0.256862389,5500.0,9,0,0,0,2.0,1
0.294609719,41,0,0.679860881,6037.0,22,0,2,0,0.0,1
0.024210208,73,0,0.159872505,5960.0,8,0,1,0,0.0,1
0.378589923,30,0,0.171514282,7666.0,9,0,0,0,0.0,1
0.136504127,58,0,0.450629114,12000.0,10,0,3,0,1.0,1
0.9999999,57,0,0.362457338,4394.0,2,0,1,0,2.0,1
0.298647207,50,0,0.050874092,5090.0,3,0,0,0,2.0,1
0.9999999,56,0,0.038308871,10832.0,0,1,0,1,0.0,1
0.0,41,0,0.068488093,10833.0,11,0,0,0,0.0,1
0.37671015,52,1,0.100079114,7583.0,4,0,0,0,2.0,1
0.319928905,72,0,0.397048322,4200.0,7,0,1,0,0.0,1
0.115247381,61,0,0.256617732,8650.0,8,0,1,0,2.0,1
0.337171371,47,0,0.452260512,6325.0,12,0,2,0,2.0,1
0.049598196,66,0,0.192802057,3500.0,4,0,1,0,1.0,1
0.072416238,86,0,0.006398294,3750.0,4,0,0,0,1.0,1
0.287115436,34,0,0.089557341,5850.0,4,0,0,0,0.0,1
0.124567234,46,0,0.43536451,6350.0,9,0,2,0,4.0,1
0.018994622,65,0,0.091059329,6050.0,12,0,0,0,0.0,1
0.121575685,61,0,0.131328841,5786.0,3,0,1,0,0.0,1
0.001695443,43,0,0.260439948,8500.0,7,0,3,0,3.0,1
0.150271108,36,0,0.504021008,6092.0,9,0,1,0,0.0,1
0.050485577,69,0,0.062542488,1470.0,11,0,0,0,0.0,1
0.9999999,22,0,0.0,1600.0,0,0,0,0,0.0,1
0.063991094,39,0,0.207583393,12500.0,10,0,2,0,1.0,1
0.366006665,64,4,0.404761905,10667.0,9,0,2,0,1.0,0
0.551307419,59,0,0.231554573,9500.0,8,0,3,0,0.0,1
0.0,74,0,0.284857299,5500.0,6,0,1,0,0.0,1
0.03139843,76,0,0.275324366,8400.0,6,0,2,0,0.0,1
0.07924588,28,0,0.272789582,1458.0,10,0,0,0,0.0,1
0.012478823,56,1,0.002595328,5008.0,6,0,0,0,0.0,1
0.011369893,67,0,0.199676201,1852.0,10,0,2,0,1.0,1
0.330901265,31,1,0.677182848,4500.0,10,0,1,0,1.0,1
0.007123538,67,0,0.442430181,2040.0,11,0,1,0,0.0,1
0.295012275,69,0,0.222259247,3000.0,7,0,0,0,0.0,1
0.00067191,32,0,0.000999667,3000.0,5,0,0,0,0.0,1
0.035274847,76,0,0.010123735,2666.0,2,0,0,0,0.0,1
0.026069464,67,0,0.017214397,3833.0,5,0,0,0,0.0,1
0.236119488,71,0,0.386377427,6591.0,8,0,1,0,0.0,1
0.096996536,61,0,0.202250932,15015.0,11,0,1,0,0.0,1
0.20651541,65,0,0.881589198,3850.0,23,0,2,1,2.0,1
1.029169607,25,0,0.314345501,4300.0,18,0,1,1,0.0,0
0.0,51,0,0.289285714,839.0,5,0,0,0,2.0,1
1.054310073,78,2,0.620917854,6950.0,12,1,2,0,0.0,1
0.96588834,52,5,0.792302674,7664.0,15,0,1,0,0.0,1
0.398717785,71,0,0.722515723,3974.0,14,0,1,0,0.0,1
0.938123752,26,0,0.019975031,800.0,1,0,0,0,0.0,1
0.017538705,53,0,0.113626034,11000.0,14,0,1,0,1.0,1
0.704912383,55,0,0.658108108,5919.0,12,0,2,0,0.0,1
0.030042729,68,0,0.285714286,2225.0,11,0,1,0,0.0,1
0.898092456,47,2,0.169576581,9564.0,11,0,0,0,1.0,1
0.234706118,55,0,0.181795196,3954.0,6,0,2,0,0.0,1
0.166690473,30,0,0.509850393,6750.0,4,0,2,0,0.0,1
0.048269599,42,0,0.706470425,3600.0,15,0,2,0,1.0,1
0.0,40,0,0.190831054,10600.0,7,0,1,0,1.0,1
0.356736511,36,0,0.192255619,3692.0,4,0,0,0,0.0,1
0.157489639,59,3,0.112867933,14166.0,5,0,1,0,0.0,1
0.784190874,54,0,0.148010194,5100.0,6,0,0,0,0.0,1
0.274603494,47,0,0.336441718,4074.0,8,0,1,0,1.0,1
0.595353936,77,0,0.827859027,4170.0,15,0,2,0,1.0,1
0.15348421,60,0,0.459756707,6000.0,13,0,2,0,0.0,1
0.371444267,47,0,0.412794001,8800.0,17,0,2,0,0.0,1
0.082592362,42,0,0.45274027,6294.0,9,0,1,0,2.0,1
0.016175295,45,2,0.799000263,3800.0,15,0,1,0,2.0,1
0.081970258,52,0,0.298942964,9081.0,8,0,2,0,3.0,1
